2025-05-13 16:30:24,485 - DEBUG - [algo] | Using cached balances (age=40.9s)
2025-05-13 16:30:24,491 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:24,593 - DEBUG - [algo] | Using cached balances (age=41.0s)
2025-05-13 16:30:24,593 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:24,594 - DEBUG - [algo] | Using cached balances (age=41.0s)
2025-05-13 16:30:24,595 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:24,824 - DEBUG - [algo] | Using cached balances (age=41.3s)
2025-05-13 16:30:24,825 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:24,827 - DEBUG - [algo] | Using cached balances (age=41.3s)
2025-05-13 16:30:24,828 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:25,040 - DEBUG - [algo] | Using cached balances (age=41.5s)
2025-05-13 16:30:25,041 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:25,042 - DEBUG - [algo] | Using cached balances (age=41.5s)
2025-05-13 16:30:25,042 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:25,145 - DEBUG - [algo] | Using cached balances (age=41.6s)
2025-05-13 16:30:25,146 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:25,146 - DEBUG - [algo] | Using cached balances (age=41.6s)
2025-05-13 16:30:25,147 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:25,348 - DEBUG - [algo] | Using cached balances (age=41.8s)
2025-05-13 16:30:25,349 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:25,350 - DEBUG - [algo] | Using cached balances (age=41.8s)
2025-05-13 16:30:25,350 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:25,449 - DEBUG - [algo] | Using cached balances (age=41.9s)
2025-05-13 16:30:25,450 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:25,450 - DEBUG - [algo] | Using cached balances (age=41.9s)
2025-05-13 16:30:25,450 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:25,651 - DEBUG - [algo] | Using cached balances (age=42.1s)
2025-05-13 16:30:25,652 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:25,652 - DEBUG - [algo] | Using cached balances (age=42.1s)
2025-05-13 16:30:25,653 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,007 - DEBUG - [algo] | Using cached balances (age=42.4s)
2025-05-13 16:30:26,007 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,008 - DEBUG - [algo] | Using cached balances (age=42.5s)
2025-05-13 16:30:26,008 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,126 - DEBUG - [algo] | Using cached balances (age=42.6s)
2025-05-13 16:30:26,126 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,127 - DEBUG - [algo] | Using cached balances (age=42.6s)
2025-05-13 16:30:26,128 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,226 - DEBUG - [algo] | Using cached balances (age=42.7s)
2025-05-13 16:30:26,227 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,227 - DEBUG - [algo] | Using cached balances (age=42.7s)
2025-05-13 16:30:26,228 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,330 - DEBUG - [algo] | Using cached balances (age=42.8s)
2025-05-13 16:30:26,331 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,332 - DEBUG - [algo] | Using cached balances (age=42.8s)
2025-05-13 16:30:26,332 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,433 - DEBUG - [algo] | Using cached balances (age=42.9s)
2025-05-13 16:30:26,434 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,434 - DEBUG - [algo] | Using cached balances (age=42.9s)
2025-05-13 16:30:26,434 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,657 - DEBUG - [algo] | Using cached balances (age=43.1s)
2025-05-13 16:30:26,658 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,658 - DEBUG - [algo] | Using cached balances (age=43.1s)
2025-05-13 16:30:26,659 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,763 - DEBUG - [algo] | Using cached balances (age=43.2s)
2025-05-13 16:30:26,764 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,765 - DEBUG - [algo] | Using cached balances (age=43.2s)
2025-05-13 16:30:26,765 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:26,973 - DEBUG - [algo] | Using cached balances (age=43.4s)
2025-05-13 16:30:26,974 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:26,975 - DEBUG - [algo] | Using cached balances (age=43.4s)
2025-05-13 16:30:26,975 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:27,077 - DEBUG - [algo] | Using cached balances (age=43.5s)
2025-05-13 16:30:27,078 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:27,078 - DEBUG - [algo] | Using cached balances (age=43.5s)
2025-05-13 16:30:27,079 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:27,510 - DEBUG - [algo] | Using cached balances (age=44.0s)
2025-05-13 16:30:27,511 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:27,511 - DEBUG - [algo] | Using cached balances (age=44.0s)
2025-05-13 16:30:27,512 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:27,613 - DEBUG - [algo] | Using cached balances (age=44.1s)
2025-05-13 16:30:27,614 - DEBUG - [algo] | Returning available[USDT] = 8.677436
